State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,,,,,,,,,,,,,
ALASKA,University of Alaska:,Anchorage,"24,144",1,0,0,0,1,70,3,62,5,0
,,Fairbanks,"12,738",3,0,3,0,0,43,3,34,6,0
ARIZONA,Arizona State University,Main Campus,"127,582",49,0,21,5,23,739,56,667,16,1
,Arizona Western College,,"11,492",0,0,0,0,0,11,0,11,0,0
,Central Arizona College,,"8,086",0,0,0,0,0,17,2,15,0,0
,Northern Arizona University,,"34,803",13,0,9,1,3,233,11,220,2,1
,University of Arizona,,"48,318",32,0,19,3,10,656,45,597,14,1
ARKANSAS,Arkansas State University:,Beebe,"5,423",0,0,0,0,0,10,1,8,1,0
,,Jonesboro,"19,032",5,0,3,0,2,47,10,36,1,0
,,Newport,"4,794",0,0,0,0,0,0,0,0,0,0
,Arkansas Tech University,,"13,487",3,0,2,0,1,78,4,73,1,0
,Henderson State University,,"3,850",2,0,1,1,0,34,4,29,1,0
,Southern Arkansas University,,"5,467",0,0,0,0,0,23,1,22,0,0
,University of Arkansas:,Fayetteville,"30,378",4,0,4,0,0,163,20,114,29,0
,,Little Rock,"14,429",1,0,0,1,0,49,5,42,2,0
,,Medical Sciences,"3,106",8,0,0,0,8,82,1,76,5,0
,,Monticello,"4,302",4,0,4,0,0,12,2,10,0,0
,,Pine Bluff,"2,872",0,0,0,0,0,67,6,60,1,0
,University of Central Arkansas,,"12,948",4,0,2,1,1,55,2,52,1,0
CALIFORNIA,Allan Hancock College,,"17,070",0,0,0,0,0,9,0,9,0,0
,California State Polytechnic University:,Pomona,"28,093",8,0,2,1,5,165,24,130,11,0
,,San Luis Obispo,"23,630",4,0,3,0,1,122,15,105,2,0
,California State University:,Bakersfield,"12,128",2,0,1,0,1,67,14,52,1,0
,,Channel Islands,"8,336",4,0,3,1,0,64,0,62,2,0
,,Chico,"19,754",6,0,3,1,2,127,2,119,6,1
,,Dominguez Hills,"17,926",6,0,2,3,1,21,4,17,0,0
,,East Bay,"19,613",4,0,3,0,1,96,15,78,3,0
,,Fresno,"27,251",11,0,3,2,6,162,17,129,16,4
,,Fullerton,"47,158",6,1,3,0,2,204,8,194,2,0
,,Long Beach,"41,221",4,0,0,2,2,125,0,111,14,0
,,Los Angeles,"30,038",4,0,1,1,2,99,4,89,6,0
,,Monterey Bay,"8,502",9,0,2,1,6,48,6,41,1,0
,,Northridge,"44,639",8,0,3,2,3,220,2,214,4,0
,,Sacramento,"35,173",3,0,0,1,2,162,13,145,4,0
